Value,Mnemonic,Gas Used,Subset,Removed from stack,Added to stack,Notes,Formula Notes
0x00,STOP,0,zero,0,0,Halts execution.,
0x01,ADD,3,verylow,2,1,Addition operation,
0x02,MUL,5,low,2,1,Multiplication operation.,
0x03,SUB,3,verylow,2,1,Subtraction operation.,
0x04,DIV,5,low,2,1,Integer division operation.,
0x05,SDIV,5,low,2,1,Signed integer division operation (truncated).,
0x06,MOD,5,low,2,1,Modulo remainder operation,
0x07,SMOD,5,low,2,1,Signed modulo remainder operation.,
0x08,ADDMOD,8,mid,3,1,Modulo addition operation.,
0x09,MULMOD,8,mid,3,1,Modulo multiplication operation.,
0x0a,EXP,(exp == 0) ? 10 : (10 + 10 * (1 + log256(exp))),,2,1,Exponential operation.,"If exponent is 0, gas used is 10. If exponent is greater than 0, gas used is 10 plus 10 times a factor related to how large the log of the exponent is."
0x0b,SIGNEXTEND,5,low,2,1,Extend length of two’s complement signed integer.,
0x10,LT,3,verylow,2,1,Less-than comparison.,
0x11,GT,3,verylow,2,1,Greater-than comparison.,
0x12,SLT,3,verylow,2,1,Signed less-than comparison.,
0x13,SGT,3,verylow,2,1,Signed greater-than comparison.,
0x14,EQ,3,verylow,2,1,Equality comparison.,
0x15,ISZERO,3,verylow,1,1,Simple not operator.,
0x16,AND,3,verylow,2,1,Bitwise AND operation.,
0x17,OR,3,verylow,2,1,Bitwise OR operation,
0x18,XOR,3,verylow,2,1,Bitwise XOR operation.,
0x19,NOT,3,verylow,1,1,Bitwise NOT operation.,
0x1a,BYTE,3,verylow,2,1,Retrieve single byte from word,
0x20,SHA3,30 + 6 * (size of input in words),,2,1,Compute Keccak-256 hash.,30 is the paid for the operation plus 6 paid for each word (rounded up) for the input data.
0x30,ADDRESS,2,base,0,1,Get address of currently executing account.,
0x31,BALANCE,400,,1,1,Get balance of the given account.,
0x32,ORIGIN,2,base,0,1,Get execution origination address.,
0x33,CALLER,2,base,0,1,Get caller address.,
